Case ID,Economic Position,Occupation Type ,Home,Gender,Region,Adults,Children,Household,Jan Income,Feb Income,Mar Income,Apr Income,May Income,Jun Income,Jan Expenditure,Feb Expenditure,Mar Expenditure,Apr Expenditure,May Expenditure,Jun Expenditure
37,Part-time working,Routine or manual,Rented,Female,Yorkshire and the Humber,1,3,4,1645,1612.1,1809.5,1496.95,1661.45,1299.55,1322.15,1203.16,1347.54,1307.11,1424.75,1638.46
38,Full-time working,Routine or manual,Rented,Female,Scotland,1,1,2,2175,2196.75,2175,2175,2175,2175,1152.55,1071.87,953.96,1039.82,1071.01,1167.4
39,Full-time working,Managerial or Professional,Owned,Male,South East,2,3,5,5138.05,3853.54,4778.39,5138.05,5600.47,4264.58,5193.47,4570.25,4844.47,4602.25,4464.18,3794.55
40,Full-time working,Managerial or Professional,Owned,Female,South West,3,3,6,5924.95,4621.46,5450.95,7406.19,5273.21,5628.7,4143.1,3355.91,3523.71,3805.61,3234.77,3008.34
41,Full-time working,Managerial or Professional,Owned,Female,South West,3,3,6,5924.95,4621.46,5450.95,7406.19,5273.21,5628.7,4143.1,3355.91,3523.71,3805.61,3234.77,3008.34
42,Full-time working,Managerial or Professional,Rented,Male,Yorkshire and the Humber,2,1,3,5924.95,6043.45,5273.21,4858.46,5391.7,5391.7,5006.72,3955.31,4232.18,3639.67,4222.02,4559.78
43,Part-time working,Managerial or Professional,Owned,Male,South West,3,2,5,5924.95,4739.96,6161.95,7109.94,4443.71,5273.21,5080.75,4572.68,4755.59,5564.04,5174.56,5329.8
44,Part-time working,Managerial or Professional,Owned,Male,North West and Merseyside,2,1,3,5924.95,6754.44,7228.44,6339.7,4621.46,5510.2,4955.8,4807.13,5432.06,6029.59,5245.74,4616.25
45,Full-time working,Managerial or Professional,Owned,Female,North East,2,1,3,1882.25,1901.07,1882.25,1901.07,1882.25,1882.25,2920.72,2482.61,2284,2466.72,2170.71,1997.05
46,Economically Inactive,Not Classified,Rented,Male,Scotland,2,1,3,2255.35,1714.07,2300.46,1804.28,2142.58,2232.8,1184.39,1077.79,1196.35,1375.8,1293.25,1176.86
47,Full-time working,Managerial or Professional,Owned,Male,East Midlands,4,3,7,5924.95,6635.94,5391.7,4443.71,5687.95,6813.69,5559.78,5782.17,5030.49,4477.14,3895.11,3895.11
48,Full-time working,Managerial or Professional,Rented,Male,North East,2,3,5,1956.9,1956.9,1976.47,1956.9,1976.47,1976.47,2675.39,2140.31,2097.5,2139.45,2011.08,2292.63
49,Economically Inactive,Not Classified,Owned,Male,West Midlands,2,1,3,3242.83,3696.82,3891.39,3631.96,3631.96,2853.69,1429.92,1572.91,1509.99,1509.99,1434.49,1276.7
50,Full-time working,Intermediate occupation,Owned,Male,West Midlands,2,1,3,5924.95,5510.2,7406.19,4502.96,6221.2,4443.71,4138.28,3765.83,4104.75,4309.99,4956.49,5898.22
51,Economically Inactive,Managerial or Professional,Owned,Male,South East,1,1,2,1974.7,2211.66,2112.93,1954.95,2053.69,1954.95,1930.24,1988.15,2027.91,2190.14,2474.86,2177.88
52,Economically Inactive,Not Classified,Owned,Male,London,2,1,3,1493.22,1538.02,1806.8,1134.85,1358.83,1149.78,942.55,1017.95,875.44,945.48,1106.21,1028.78
53,Economically Inactive,Routine or manual,Owned,Male,North East,2,1,3,2661.2,2315.24,3246.66,2874.1,2900.71,2900.71,2052.97,1539.73,1647.51,1565.13,1361.66,1211.88
54,Full-time working,Routine or manual,Owned,Female,North West and Merseyside,3,2,5,2959.41,2959.41,2989,2989,2959.41,2989,1543.13,1450.54,1697.13,1985.64,1767.22,2049.98
55,Economically Inactive,Not Classified,Owned,Female,Scotland,2,1,3,2965.85,2254.04,2787.89,3025.16,3025.16,3499.7,2711.36,2060.63,2390.33,2390.33,2772.78,2939.15
56,Full-time working,Intermediate occupation,Owned,Male,Wales,2,3,5,3435.5,3435.5,3469.86,3469.86,3469.86,3469.86,3094.46,3063.52,3492.41,4190.89,4316.62,4964.11
57,Economically Inactive,Not Classified,Owned,Male,Wales,2,1,3,3131.81,2411.49,3257.08,3351.04,2599.4,3163.13,3721.65,3758.87,3608.52,4041.54,3435.31,3469.66
58,Economically Inactive,Long Term Unemployed,Rented,Female,West Midlands,3,1,4,396.15,380.3,297.11,316.92,435.77,415.96,2139.33,2053.76,2238.6,2686.32,2283.37,1963.7
59,Part-time working,Routine or manual,Owned,Female,North West and Merseyside,1,2,3,1716.4,1682.07,1991.02,1767.89,1853.71,1870.88,2570.64,2107.92,2129,1958.68,2017.44,2118.31
60,Economically Inactive,Not Classified,Rented,Male,North West and Merseyside,2,1,3,1593.12,1577.19,1879.88,1688.71,1768.36,1736.5,1491.55,1327.48,1579.7,1674.48,1490.29,1475.39
61,Part-time working,Routine or manual,Owned,Female,East Midlands,1,1,2,1331.65,1318.33,1438.18,1544.71,1171.85,1225.12,784.52,635.46,571.91,686.29,645.11,722.52
62,Full-time working,Managerial or Professional,Owned,Female,South West,2,2,4,5924.95,4443.71,7406.19,5154.71,4799.21,6576.69,2883.82,2480.09,2728.1,2482.57,2954.26,3279.23
63,Economically Inactive,Not Classified,Rented,Female,Scotland,1,1,2,1119.5,1052.33,1399.37,1365.79,1276.23,1041.13,903.34,713.64,735.05,764.45,817.96,973.37
64,Economically Inactive,Not Classified,Rented,Male,South East,2,1,3,1360.21,1142.58,1659.46,1088.17,1033.76,1319.4,720.53,698.91,726.87,632.38,613.41,564.34
65,Full-time working,Managerial or Professional,Owned,Female,South East,1,1,2,2620.3,2646.5,2646.5,2646.5,2620.3,2620.3,3272.37,3010.58,2799.84,2631.85,2868.72,2639.22
66,Economically Inactive,Not Classified,Owned,Female,London,1,1,2,1951.87,2166.58,2322.73,2381.28,1678.61,1659.09,3081.58,2989.13,3258.15,3518.8,3026.17,2632.77
67,Full-time working,Managerial or Professional,Owned,Female,West Midlands,2,1,3,5481.95,5153.03,6852.44,4111.46,6413.88,4659.66,2866.92,3096.27,3127.23,2908.32,2966.49,3352.13
68,Economically Inactive,Not Classified,Owned,Male,East Midlands,2,1,3,1675.92,1491.57,1340.74,1391.01,2027.86,1541.85,1489.55,1504.45,1308.87,1413.58,1569.07,1349.4
69,Full-time working,Routine or manual,Rented,Male,North West and Merseyside,1,1,2,3006.9,3006.9,3006.9,3006.9,3006.9,3006.9,2950.46,3216,3827.04,4324.56,3935.35,3777.94
70,Part-time working,Routine or manual,Owned,Male,West Midlands,1,1,2,1852,1685.32,1777.92,1740.88,2240.92,2185.36,1506.5,1280.53,1280.53,1421.39,1279.25,1304.84
71,Full-time working,Intermediate occupation,Owned,Male,London,1,1,2,721.15,728.36,728.36,721.15,728.36,728.36,578.85,474.66,436.69,497.83,557.57,585.45
72,Economically Inactive,Routine or manual,Owned,Male,Yorkshire and the Humber,2,3,5,1437.57,1308.19,1106.93,1696.33,1480.7,1782.59,1782.72,1604.45,1411.92,1496.64,1631.34,1419.27
73,Full-time working,Intermediate occupation,Owned,Male,South West,3,1,4,5924.95,7109.94,6754.44,6221.2,5984.2,6754.44,4630.92,4630.92,4723.54,4062.24,3940.37,3822.16
74,Full-time working,Routine or manual,Owned,Male,South East,2,1,3,4912.61,5993.38,4912.61,3880.96,4519.6,4568.73,1981.71,1644.82,1694.16,1914.4,2105.84,1937.37
75,Full-time working,Managerial or Professional,Owned,Male,Eastern,2,3,5,5856.44,7320.55,6266.39,6500.65,5095.1,7261.98,5488.06,4774.61,5634.04,5014.3,5515.73,6508.56
76,Full-time working,Managerial or Professional,Owned,Male,South West,2,1,3,3266.83,3266.83,3299.5,3266.83,3266.83,3266.83,2179.11,2070.15,1945.94,1984.86,1865.77,1679.19
77,Economically Inactive,Not Classified,Owned,Male,Eastern,2,1,3,1622.1,1589.66,1670.76,1232.8,1638.32,1378.79,1446.81,1490.21,1370.99,1480.67,1584.32,1726.91
78,Economically Inactive,Managerial or Professional,Owned,Male,London,2,1,3,2718.47,2718.47,2120.41,2636.92,2718.47,2800.02,2701.88,2755.92,2397.65,2421.63,2639.58,2718.77
79,Full-time working,Routine or manual,Owned,Male,North East,2,3,5,2026.75,2026.75,2026.75,2047.02,2026.75,2047.02,1226.23,1250.75,1463.38,1404.84,1264.36,1264.36
80,Economically Inactive,Long Term Unemployed,Owned,Male,London,1,1,2,697.9,774.67,795.61,544.36,865.4,551.34,1307.14,1189.5,1070.55,1199.02,1091.11,1047.47
81,Economically Inactive,Not Classified,Rented,Female,North East,1,1,2,1443.85,1516.04,1516.04,1313.9,1429.41,1573.8,844.06,700.57,616.5,579.51,683.82,765.88
82,Full-time working,Managerial or Professional,Owned,Male,East Midlands,2,1,3,5639.35,4906.23,6034.1,5921.32,4398.69,5300.99,2290.77,1992.97,2232.13,2299.09,2689.94,2878.24
83,Full-time working,Managerial or Professional,Owned,Male,Northern Ireland,2,3,5,3175.2,3175.2,3206.95,3175.2,3206.95,3206.95,2463.4,2561.94,2664.42,2957.51,3460.29,3010.45
84,Full-time working,Managerial or Professional,Rented,Male,East Midlands,2,2,4,4172.4,4589.64,3796.88,4297.57,4464.47,4297.57,2337.36,2267.24,2131.21,2152.52,2238.62,2104.3
85,Economically Inactive,Not Classified,Owned,Male,East Midlands,3,1,4,3407.4,3543.7,2998.51,3850.36,3884.44,3645.92,2376.03,2566.11,2258.18,2664.65,2638,2242.3
86,Economically Inactive,Not Classified,Rented,Male,Eastern,2,1,3,1749.42,1749.42,1591.97,1959.35,1749.42,1539.49,1356.87,1384.01,1287.13,1531.68,1684.85,1432.12
87,Economically Inactive,Not Classified,Rented,Female,Wales,1,1,2,1435.21,1262.98,1119.46,1693.55,1621.79,1420.86,549.38,571.36,611.36,715.29,786.82,794.69
88,Economically Inactive,Not Classified,Owned,Male,Eastern,3,1,4,3636.5,2981.93,3563.77,3091.03,4000.15,3818.33,2789.96,2985.26,3194.23,3353.94,3152.7,3436.44
89,Economically Inactive,Not Classified,Rented,Female,South East,1,1,2,757.55,939.36,901.48,583.31,803,568.16,802.2,697.91,642.08,738.39,716.24,723.4
90,Training Program,Long Term Unemployed,Rented,Male,North East,1,1,2,355,340.8,287.55,326.6,280.45,355,445.26,351.76,393.97,397.91,437.7,433.32
91,Full-time working,Routine or manual,Owned,Male,London,1,1,2,1500.15,1500.15,1515.15,1500.15,1515.15,1500.15,769.03,699.82,727.81,756.92,650.95,663.97
92,Economically Inactive,Not Classified,Owned,Female,Northern Ireland,1,1,2,679.5,849.38,645.53,740.66,727.07,597.96,1186.63,1162.9,1290.82,1329.54,1422.61,1493.74
93,Full-time working,Routine or manual,Rented,Male,Scotland,4,1,5,1897.5,1916.48,1897.5,1916.48,1897.5,1916.48,1928.88,1851.72,1722.1,1481.01,1703.16,1703.16
94,Economically Inactive,Not Classified,Owned,Male,West Midlands,4,1,5,3109.35,2580.76,2425.29,2456.38,2456.38,2953.88,3889.73,3345.17,3913.85,4696.62,4273.92,3632.83
95,Full-time working,Managerial or Professional,Owned,Male,Eastern,2,3,5,5924.95,6517.45,6339.7,6221.2,4502.96,6932.19,3241.61,3371.27,3742.11,3592.43,4203.14,4455.33
96,Full-time working,Managerial or Professional,Owned,Male,Yorkshire and the Humber,2,1,3,3194.64,3226.58,3226.58,3194.64,3226.58,3194.64,1174.57,1233.3,1368.96,1492.17,1283.27,1206.27
97,Full-time working,Managerial or Professional,Owned,Male,North West and Merseyside,2,2,4,5924.95,6339.7,6576.69,4502.96,5924.95,5213.96,5399.23,4373.38,3804.84,3386.31,3691.08,3321.97
98,Economically Inactive,Not Classified,Owned,Female,North West and Merseyside,2,1,3,5924.95,7050.69,6635.94,5628.7,4858.46,7228.44,2880.22,2909.02,3083.56,2775.2,2969.46,3177.32
99,Economically Inactive,Not Classified,Owned,Male,Yorkshire and the Humber,2,1,3,1699.07,1512.17,1580.14,1699.07,2123.84,1750.04,2757.14,2812.28,2952.89,3543.47,3968.69,3492.45
100,Economically Inactive,Not Classified,Owned,Male,North West and Merseyside,2,1,3,2935.27,2436.27,3581.03,3404.91,2817.86,3639.73,1689.15,1739.82,1670.23,1920.76,1786.31,1571.95
101,Full-time working,Managerial or Professional,Owned,Male,Yorkshire and the Humber,3,2,5,5826.45,5768.19,7283.06,7283.06,5127.28,5243.81,3049.45,2378.57,2378.57,2164.5,2272.73,2113.64
102,Full-time working,Long Term Unemployed,Rented,Female,South West,1,3,4,1128.2,1128.2,1128.2,1139.48,1139.48,1128.2,1721.63,1377.3,1267.12,1267.12,1305.13,1448.69
103,Economically Inactive,Not Classified,Owned,Female,London,1,1,2,4549.37,4913.32,4731.35,4867.83,5231.78,3548.51,1568.88,1255.1,1506.12,1295.26,1308.21,1517.52
104,Full-time working,Routine or manual,Rented,Female,East Midlands,2,3,5,2487.85,2512.73,2487.85,2487.85,2487.85,2487.85,1932.14,1661.64,1495.48,1779.62,1744.03,1674.27
105,Full-time working,Managerial or Professional,Owned,Male,East Midlands,4,2,6,5924.95,6280.45,5332.46,4562.21,6813.69,5569.45,5875,5816.25,6223.39,5912.22,5380.12,5756.73
106,Economically Inactive,Not Classified,Rented,Male,Yorkshire and the Humber,1,1,2,2079.51,2141.9,2370.64,1954.74,1767.58,2037.92,1250.02,1112.52,990.14,901.03,901.03,955.09
107,Economically Inactive,Not Classified,Owned,Male,North East,1,1,2,1122.4,954.04,954.04,1290.76,1369.33,897.92,3147.91,2455.37,2160.73,2117.52,1926.94,1984.75
108,Part-time working,Managerial or Professional,Owned,Female,Yorkshire and the Humber,2,1,3,5422.44,5422.44,4554.85,4771.75,4121.05,5964.68,5875,5640,4963.2,5558.78,5781.13,5376.45
109,Economically Inactive,Not Classified,Rented,Male,Scotland,1,1,2,1784.11,1605.7,1427.29,1748.43,1909,1659.22,1272.09,1004.95,1015,1157.1,1249.67,1174.69
110,Economically Inactive,Managerial or Professional,Owned,Male,West Midlands,1,1,2,2668.99,3176.1,2882.51,2909.2,3202.79,2455.47,961.22,903.55,804.16,932.83,1100.74,1111.75
111,Economically Inactive,Not Classified,Owned,Male,South East,1,1,2,3027.01,2845.39,2875.66,3178.36,2421.61,2330.8,2600.47,1976.36,2134.47,2475.99,2599.79,2937.76
112,Full-time working,Managerial or Professional,Rented,Female,London,4,1,5,5869.15,5458.31,5517,6045.22,5164.85,6632.14,3626.2,3553.68,3802.44,4334.78,3944.65,3668.52
113,Economically Inactive,Not Classified,Owned,Female,North West and Merseyside,2,1,3,5660.74,5207.88,5038.06,6170.2,6000.38,6509.85,3525.53,2855.68,3284.03,3316.87,3051.52,2654.82
114,Full-time working,Routine or manual,Rented,Male,South West,2,1,3,2440,2440,2464.4,2464.4,2464.4,2464.4,2157.01,1682.47,1884.37,2148.18,2277.07,2003.82
115,Full-time working,Routine or manual,Owned,Male,East Midlands,2,1,3,3588.1,3588.1,3623.98,3623.98,3623.98,3623.98,1978.07,1523.11,1309.87,1152.69,1025.89,995.11
116,Full-time working,Managerial or Professional,Owned,Male,North West and Merseyside,3,1,4,5924.95,6932.19,5036.21,5628.7,5450.95,4858.46,5875,5816.25,4943.81,5833.7,5833.7,6767.09
117,Economically Inactive,Managerial or Professional,Rented,Female,South East,1,2,3,362.5,445.88,435,431.38,293.63,351.63,805.2,821.3,870.58,975.05,1150.56,1288.63
118,Full-time working,Managerial or Professional,Owned,Male,South West,2,2,4,2214.85,2214.85,2214.85,2237,2237,2237,2740.83,2329.71,2795.65,3270.91,3499.87,3289.88
119,Part-time working,Managerial or Professional,Owned,Female,Yorkshire and the Humber,2,1,3,2386.8,2935.76,2792.56,2935.76,2362.93,2386.8,1521.68,1354.3,1408.47,1647.91,1878.62,1916.19
120,Economically Inactive,Routine or manual,Rented,Male,South East,1,1,2,485,426.8,606.25,363.75,528.65,606.25,928.68,947.25,1013.56,1104.78,1160.02,1160.02
121,Economically Inactive,Not Classified,Owned,Male,South West,2,1,3,2345.67,2369.13,2369.13,2322.21,2674.06,2392.58,4752.81,4800.34,5088.36,5444.55,6097.9,6646.71
122,Full-time working,Routine or manual,Owned,Male,Northern Ireland,2,3,5,2246.38,2246.38,2268.84,2268.84,2246.38,2246.38,2419.52,2346.93,2722.44,3076.36,3384,3620.88
123,Full-time working,Intermediate occupation,Owned,Male,North West and Merseyside,2,3,5,5924.95,6517.45,5273.21,5510.2,4858.46,5865.7,4812.73,3994.57,4713.59,4053.69,4377.99,4640.67
124,Economically Inactive,Long Term Unemployed,Rented,Female,East Midlands,3,1,4,5142.45,4062.54,6170.94,6273.79,4833.9,4011.11,2165.47,1775.69,2095.31,2095.31,2116.26,2031.61
125,Full-time working,Managerial or Professional,Owned,Male,South West,2,3,5,3838.69,3838.69,3877.07,3838.69,3838.69,3838.69,4380.85,3898.96,4171.89,4422.2,3891.54,3930.46
126,Economically Inactive,Not Classified,Owned,Female,North West and Merseyside,1,1,2,1129.8,1321.87,1016.82,903.84,1005.52,1276.67,1642.34,1724.46,1569.26,1380.95,1629.52,1531.75
127,Training Program,Managerial or Professional,Rented,Male,North West and Merseyside,1,1,2,500,390,610,375,590,530,774.77,805.76,797.7,717.93,818.44,752.96
128,Part-time working,Routine or manual,Rented,Female,North East,2,2,4,1975,2291,2310.75,1876.25,1738,1975,2306.2,2144.77,2209.11,2032.38,2337.24,2687.83
129,Full-time working,Managerial or Professional,Owned,Male,Yorkshire and the Humber,1,2,3,3846.15,3884.61,3884.61,3884.61,3846.15,3846.15,5875,5581.25,6306.81,5360.79,5521.61,6184.2
130,Full-time working,Routine or manual,Owned,Male,Yorkshire and the Humber,2,3,5,3643.95,3643.95,3680.39,3643.95,3680.39,3680.39,3418.52,3042.48,3285.88,3778.76,3552.03,3338.91
131,Economically Inactive,Not Classified,Owned,Male,South West,2,1,3,3813.08,2897.94,3393.64,4194.38,4156.25,3279.24,3997.49,3437.84,3265.95,3657.86,3950.49,3950.49
132,Part-time working,Managerial or Professional,Owned,Female,Eastern,1,1,2,3489.06,2651.69,4082.2,4082.2,2791.25,3628.62,3569.56,3569.56,4176.39,4928.14,5618.08,6741.7
133,Full-time working,Managerial or Professional,Owned,Male,South East,2,3,5,5924.95,5095.46,7169.19,6754.44,4562.21,5924.95,3811.74,3354.33,3891.02,3891.02,3424.1,3492.58
134,Full-time working,Routine or manual,Owned,Male,North East,2,2,4,3732.5,3732.5,3732.5,3769.83,3769.83,3732.5,2749.45,2721.96,3048.6,3444.92,3169.33,2789.01
135,Economically Inactive,Not Classified,Owned,Female,Eastern,1,1,2,1091.35,1265.97,1058.61,1069.52,883.99,1233.23,1202.8,1323.08,1402.46,1444.53,1531.2,1393.39
136,Economically Inactive,Not Classified,Owned,Male,Yorkshire and the Humber,3,1,4,5924.95,5984.2,5628.7,6161.95,7406.19,7287.69,2561.35,2382.06,2429.7,2915.64,2828.17,2828.17
137,Economically Inactive,Not Classified,Owned,Female,North West and Merseyside,1,1,2,946.46,1135.75,738.24,1164.15,1154.68,918.07,1879.78,1579.02,1642.18,1855.66,1985.56,2303.25
138,Economically Inactive,Not Classified,Owned,Male,North West and Merseyside,2,1,3,1168.05,1401.66,981.16,981.16,1144.69,922.76,2391.75,1817.73,2072.21,2237.99,2417.03,2803.75
139,Economically Inactive,Not Classified,Owned,Male,Scotland,3,1,4,2769.31,3406.25,2160.06,3184.7,2880.08,2409.3,2214.05,2036.93,1935.08,1780.27,1531.03,1500.41
140,Full-time working,Intermediate occupation,Rented,Female,East Midlands,2,1,3,2394.4,2394.4,2394.4,2394.4,2418.34,2394.4,2550.71,2754.77,3112.89,2708.21,2924.87,2486.14
141,Full-time working,Routine or manual,Owned,Male,North East,2,1,3,3302.4,3335.42,3335.42,3302.4,3302.4,3302.4,1383.65,1466.67,1730.67,1592.22,1894.74,1989.48
142,Economically Inactive,Not Classified,Owned,Male,Yorkshire and the Humber,2,1,3,3743.8,3481.73,4455.12,2807.85,3331.98,2882.72,4552.54,3596.51,3740.37,3740.37,3515.95,3515.95
143,Full-time working,Managerial or Professional,Owned,Male,Eastern,3,3,6,5924.95,5865.7,5391.7,6161.95,6102.7,6398.95,5875,5698.75,5698.75,5185.86,5497.01,4782.4
144,Training Program,Routine or manual,Rented,Male,South East,2,3,5,4225.95,5071.14,4564.03,4479.51,4310.47,3465.28,1348.3,1253.92,1103.45,1213.8,1408.01,1478.41
145,Full-time working,Intermediate occupation,Owned,Male,South West,2,3,5,3303.55,3336.59,3336.59,3336.59,3303.55,3336.59,5875,4641.25,5476.68,5969.58,5193.53,4933.85
146,Economically Inactive,Not Classified,Rented,Female,Yorkshire and the Humber,1,1,2,1176.76,1106.15,1282.67,1376.81,1435.65,1059.08,1433.92,1304.87,1370.11,1205.7,1217.76,1156.87
147,Full-time working,Managerial or Professional,Rented,Male,South East,2,1,3,4692.65,5021.14,3613.34,5068.06,4786.5,5068.06,3072.22,2365.61,2058.08,2099.24,2057.26,2427.57
148,Full-time working,Routine or manual,Owned,Male,South West,3,3,6,5192.95,6127.68,5504.53,5816.1,5971.89,6179.61,3123.34,2904.71,3253.28,2765.29,3263.04,3099.89
